,A43ml,A1ml,V43ml,V1ml,Age 0,Age 1,Age 2,Age 3,Age 4,Age 5,Age 6,Age 7,Age 8+,1+
2006 - 44H0,3088.79,2611.26,169.58,121.59,0.0,24.57,45.6,73.58,98.87,35.35,18.35,3.35,9.44,309.11
2006 - 44H1,193.87,21.94,2.07,0.07,0.0,131.98,141.71,229.19,294.05,115.23,67.51,13.23,6.52,999.42
2006 - 45G7,2764.95,2402.65,134.54,106.2,0.0,172.55,242.55,193.24,377.78,67.32,9.99,3.99,5.99,1073.41
2006 - 45G8,3169.74,3108.06,195.21,164.35,4.73,353.0,221.88,338.81,573.08,51.47,52.92,0.0,7.16,1598.32
2006 - 45G9,2521.77,2304.3,143.41,120.67,3.33,30.61,11.33,21.32,37.28,1.05,1.48,0.35,0.0,103.42
2006 - 45H0,2922.91,2490.08,124.28,95.55,2.81,17.16,83.05,91.33,243.29,133.82,69.97,10.3,13.84,662.76
2006 - 45H1,414.88,313.53,7.63,4.62,2.96,73.2,202.82,103.05,261.23,91.98,39.76,6.18,7.75,785.97
2006 - 46G8,2475.01,2310.97,231.63,210.36,10.33,671.83,222.95,385.43,383.95,181.31,15.53,6.76,4.63,1872.39
2006 - 46G9,3067.12,3002.5,195.06,169.88,90.99,7.68,1.28,3.84,1.28,0.0,0.0,0.0,0.0,14.08
2006 - 46H0,3210.72,3182.03,201.67,171.57,248.86,35.92,37.13,20.48,17.66,4.21,0.0,0.0,0.0,115.4
2006 - 46H1,1610.58,1300.0,32.92,20.31,0.0,187.83,325.08,342.28,673.5,267.25,84.1,31.37,34.74,1946.15
2006 - 46H2,0.0,0.0,0.0,0.0,3.46,0.2,0.24,0.2,0.48,0.12,0.01,0.0,0.01,1.26
2006 - 47G9,1518.46,1265.18,35.88,24.45,150.07,259.57,215.75,575.06,731.09,357.92,82.64,39.2,34.78,2296.01
2006 - 47H0,2502.3,1961.85,84.93,60.81,191.72,76.2,77.93,87.63,66.82,10.3,0.0,0.0,0.67,319.55
2006 - 47H1,2816.5,2261.95,109.91,73.64,27.31,581.81,977.07,1104.71,2173.6,832.01,234.54,94.62,66.47,6064.83
2006 - 47H2,1568.56,1067.42,34.84,18.13,60.18,704.45,1167.1,1308.97,2576.51,982.51,276.85,111.75,78.43,7206.57
2006 - 47H3,879.09,661.93,18.14,7.22,79.96,76.32,103.67,198.19,127.68,51.91,4.59,1.1,2.2,565.66
2006 - 47H4,34.96,27.97,0.72,0.31,7.7,25.26,37.36,77.01,54.73,24.78,2.27,0.54,1.09,223.04
2006 - 48G9,10.48,0.0,0.05,0.0,64.03,718.26,813.35,720.9,312.63,274.34,43.19,23.02,38.94,2944.63
2006 - 48H3,700.81,300.08,11.96,1.74,24.9,100.85,61.86,85.12,33.33,7.75,0.34,0.18,0.0,289.43
2006 - 48H4,73.31,20.96,1.23,0.22,98.21,266.94,362.29,733.72,516.36,232.79,21.87,5.37,10.23,2149.57
2006 - 48H5,856.77,93.45,10.73,0.22,95.23,514.02,354.65,483.92,231.06,65.38,12.03,1.8,0.0,1662.86
2006 - 48H6,1389.17,276.65,22.27,1.24,38.21,202.95,86.34,110.03,46.75,10.49,1.43,0.27,0.0,458.26
2006 - 49H5,51.61,0.0,0.19,0.0,99.4,372.37,317.19,429.84,205.17,61.01,13.02,1.65,0.0,1400.25
2006 - 49H6,556.68,10.32,4.97,0.02,72.38,242.55,76.9,81.89,23.78,2.02,0.6,0.0,0.0,427.74
2007 - 37G0,4.0,0.0,0.0,0.0,24.75,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
2007 - 37G1,630.65,0.0,1.07,0.0,446.93,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56
2007 - 37G2,4.02,0.0,0.0,0.0,64.7,14.45,0.9,1.01,0.63,0.55,0.03,0.01,0.01,17.59
2007 - 37G3,0.0,0.0,0.0,0.0,133.65,1.0,1.11,2.15,1.89,1.2,0.66,0.16,0.12,8.29
2007 - 37G4,0.0,0.0,0.0,0.0,127.43,25.04,21.14,12.5,14.04,10.3,3.15,5.26,1.5,92.93
2007 - 37G5,252.13,24.0,1.36,0.03,3.04,55.37,56.65,28.25,63.57,103.61,19.05,18.21,11.24,355.95
2007 - 37G8,4.0,0.0,0.0,0.0,2.89,4.9,6.23,5.02,6.57,12.34,5.88,5.8,6.35,53.09
2007 - 37G9,0.0,0.0,0.0,0.0,0.66,0.79,0.63,0.4,0.62,1.37,0.53,0.5,0.49,5.33
2007 - 38G0,942.58,0.0,2.86,0.0,182.54,0.88,0.0,0.0,0.21,0.0,0.0,0.0,0.0,1.09
2007 - 38G1,279.29,0.0,1.58,0.0,69.86,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22
2007 - 38G2,0.0,0.0,0.0,0.0,412.28,71.23,12.77,8.49,8.22,5.98,1.21,1.16,0.24,109.3
2007 - 38G3,740.55,368.04,5.69,0.55,276.67,69.52,21.23,14.72,13.64,9.94,2.49,2.11,0.49,134.14
2007 - 38G4,345.56,23.71,1.06,0.04,153.71,37.87,34.06,21.05,21.3,15.6,4.82,7.75,2.05,144.5
2007 - 38G5,2864.34,702.02,45.55,2.7,63.32,51.46,58.26,32.53,67.78,108.03,22.75,21.02,13.84,375.67
2007 - 38G6,289.28,39.7,3.67,0.05,19.71,72.63,74.59,38.86,92.16,142.5,31.59,26.04,15.92,494.29
2007 - 38G7,0.0,0.0,0.0,0.0,25.34,6.24,15.79,12.68,19.34,27.29,7.73,7.62,7.98,104.67
2007 - 38G8,638.49,134.53,14.73,1.06,33.62,39.27,43.67,34.55,47.13,88.81,40.19,39.71,46.06,379.39
2007 - 38G9,1245.97,939.41,38.14,17.14,38.54,20.81,34.07,19.41,38.98,46.45,24.66,18.92,16.66,219.96
2007 - 39F9,31.46,0.0,0.05,0.0,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007 - 39G0,160.52,0.0,0.33,0.0,13.17,0.74,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.93
2007 - 39G1,102.06,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007 - 39G2,0.0,0.0,0.0,0.0,,,,,,,,,,
2007 - 39G3,1266.57,307.52,8.17,0.31,135.67,98.62,48.16,31.33,27.44,16.55,5.58,5.11,1.11,233.9
2007 - 39G4,1521.46,445.93,12.44,2.17,,,,,,,,,,
2007 - 39G5,2997.62,1682.5,73.17,22.85,11.34,12.59,17.93,9.15,22.58,19.06,5.25,3.16,3.24,92.96
2007 - 39G6,1791.03,329.8,27.49,2.32,21.91,117.32,111.92,58.82,131.28,203.26,45.12,36.64,20.72,725.08
2007 - 39G7,1359.29,0.0,19.37,0.0,92.28,65.43,60.61,39.38,73.15,101.45,20.68,18.21,14.82,393.73
2007 - 39G8,3295.16,203.37,63.92,1.11,10.51,41.21,42.21,38.7,47.15,93.74,42.95,39.77,46.77,392.5
2007 - 39G9,2600.83,829.57,48.46,7.43,14.44,16.9,30.0,24.28,67.98,91.5,32.13,28.07,27.3,318.16
2007 - 39H0,0.0,0.0,0.0,0.0,154.51,2.75,0.86,1.42,0.89,3.03,0.48,0.2,0.46,10.09
2007 - 40F9,0.0,0.0,0.0,0.0,1.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007 - 40G0,135.49,0.0,0.42,0.0,29.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007 - 40G1,73.2,0.0,0.22,0.0,11.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007 - 40G2,131.35,0.0,0.46,0.0,15.59,100.98,113.37,42.29,38.28,26.16,5.38,3.2,6.04,335.7
2007 - 40G4,525.2,225.82,5.97,1.36,17.8,12.42,45.27,69.26,63.91,86.48,49.01,20.06,14.07,360.48
2007 - 40G5,249.25,101.3,3.49,1.12,5.41,5.72,22.55,87.73,82.64,130.25,49.27,47.41,31.59,457.16
2007 - 40G6,0.0,0.0,0.0,0.0,35.95,14.43,24.6,20.43,29.22,24.95,8.58,5.45,2.46,130.12
2007 - 40G7,3.9,0.0,0.0,0.0,13.22,10.93,23.69,15.42,16.69,16.82,2.7,0.27,0.59,87.11
2007 - 40G8,2856.06,2281.73,91.72,48.05,40.68,130.43,86.67,45.68,78.69,177.37,61.62,53.93,36.93,671.32
2007 - 40G9,2120.75,980.32,32.7,13.49,18.41,30.62,35.43,32.65,77.33,114.87,35.87,25.66,26.36,378.79
2007 - 40H0,0.0,0.0,0.0,0.0,8.25,27.55,31.7,91.4,83.3,37.2,33.45,12.45,7.51,324.56
2007 - 41G0,498.79,0.0,1.87,0.0,,,,,,,,,,
2007 - 41G1,2104.81,0.0,9.53,0.0,1.74,1.74,0.03,0.0,0.0,0.0,0.0,0.0,0.0,1.77
2007 - 41G2,1248.5,0.0,8.62,0.0,,,,,,,,,,
2007 - 41G6,0.0,0.0,0.0,0.0,15.03,5.75,7.4,3.93,1.52,5.4,0.58,0.0,0.87,25.45
2007 - 41G7,0.0,0.0,0.0,0.0,0.86,9.74,26.95,18.69,40.38,97.02,20.14,11.9,17.7,242.52
2007 - 41G9,2939.11,2356.75,117.74,77.86,23.29,28.97,56.07,35.59,105.89,145.63,37.78,12.38,18.61,440.92
2007 - 41H0,377.35,95.08,4.85,0.46,10.89,24.52,36.79,20.96,96.82,164.62,54.28,29.76,62.43,490.18
2007 - 42G1,0.0,0.0,0.0,0.0,27.48,19.57,0.37,0.01,0.02,0.0,0.0,0.0,0.0,19.97
2007 - 42G2,155.48,0.0,0.13,0.0,26.43,7.02,0.13,0.0,0.01,0.0,0.0,0.0,0.0,7.16
2007 - 42G6,0.0,0.0,0.0,0.0,43.84,12.31,19.98,9.19,16.02,44.18,3.28,15.51,8.09,128.56
2007 - 42G7,1626.69,861.43,30.35,13.79,17.17,3.8,4.91,3.36,6.98,6.06,0.64,0.45,0.18,26.38
2007 - 42G8,788.74,603.82,30.34,18.41,0.79,4.63,22.51,18.36,48.85,77.13,24.26,6.06,4.95,206.75
2007 - 42G9,3397.22,3397.22,273.9,232.58,4.42,4.82,19.82,16.62,37.22,49.11,17.46,10.95,6.41,162.41
2007 - 42H0,1657.03,1305.63,75.85,55.36,13.01,9.51,69.26,46.39,117.32,157.83,60.87,35.68,29.6,526.46
2007 - 43G1,0.0,0.0,0.0,0.0,122.94,152.98,22.69,3.69,1.56,0.0,0.0,0.0,0.0,180.92
2007 - 43G2,0.0,0.0,0.0,0.0,2.86,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22
2007 - 43G7,2451.0,1881.15,72.56,36.95,21.87,58.71,242.92,62.79,180.34,245.87,56.3,24.78,5.38,877.09
2007 - 43G8,549.21,127.19,13.85,2.49,2.94,8.15,19.91,15.28,10.41,16.87,7.23,2.12,2.17,82.14
2007 - 43G9,3240.74,2925.32,291.7,219.34,4.93,21.11,97.73,89.47,259.52,308.58,71.97,21.37,29.85,899.6
2007 - 43H0,2424.41,2159.93,215.33,185.34,12.49,51.28,153.97,80.57,337.0,387.29,127.61,34.65,44.96,1217.33
2007 - 43H1,230.0,0.0,1.21,0.0,0.14,3.51,8.87,5.01,5.85,6.8,1.09,0.0,0.29,31.42
2007 - 44G0,0.0,0.0,0.0,0.0,13.4,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4
2007 - 44G1,0.0,0.0,0.0,0.0,53.77,9.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.63
2007 - 44G7,3258.3,3009.11,153.7,115.79,358.65,37.14,26.63,3.48,8.78,5.74,0.59,0.0,0.0,82.36
2007 - 44G8,1348.58,1264.17,44.79,28.18,31.04,52.41,75.42,0.0,31.04,15.7,2.55,0.91,0.91,178.94
2007 - 44G9,2139.71,1716.62,105.28,67.88,62.77,153.11,299.82,272.91,222.86,325.64,49.78,0.0,3.87,1327.99
2007 - 44H0,2860.44,2610.66,149.23,109.52,1.16,44.93,124.07,85.31,100.32,96.91,15.65,1.38,3.45,472.02
2007 - 44H1,135.31,29.22,1.48,0.12,0.0,6.43,20.72,18.11,21.45,16.65,2.7,0.58,0.43,87.07
2007 - 45G7,2308.49,2029.93,100.24,76.41,467.61,556.89,422.2,65.08,16.26,128.88,5.86,0.0,0.0,1195.17
2007 - 45G8,3220.5,3137.07,198.72,156.24,191.11,31.31,33.53,9.49,8.3,16.49,5.38,0.65,0.0,105.15
2007 - 45G9,2416.37,2199.15,129.22,99.94,45.29,29.25,137.79,69.57,107.51,151.97,40.57,24.7,5.13,566.49
2007 - 45H0,2937.64,2745.25,87.33,73.44,3.66,21.7,92.85,62.4,77.82,146.21,20.31,7.0,11.04,439.33
2007 - 45H1,490.78,266.84,6.99,2.92,21.64,35.18,109.05,65.11,79.39,152.51,18.48,6.75,9.42,475.89
2007 - 46G8,2389.35,2129.09,224.79,194.82,259.47,46.98,49.06,3.28,30.34,30.35,0.0,3.45,0.0,163.46
2007 - 46G9,3070.69,2977.39,199.76,156.2,515.76,48.7,67.8,44.9,32.84,33.85,0.0,0.0,0.0,228.09
2007 - 46H0,3203.53,3164.06,197.36,158.98,108.41,140.28,116.07,42.61,109.27,57.55,22.27,1.68,0.0,489.73
2007 - 46H1,1778.82,1203.25,34.86,18.87,47.74,48.79,77.76,32.87,27.59,82.3,17.09,9.38,7.44,303.22
2007 - 46H2,0.0,0.0,0.0,0.0,55.01,20.09,18.08,4.76,2.66,9.76,1.58,0.11,0.04,57.08
2007 - 47G9,1416.55,1096.04,34.42,20.0,1255.46,134.4,168.64,46.31,56.78,74.96,4.34,0.0,0.0,485.43
2007 - 47H0,2365.61,1824.75,78.97,53.21,366.61,42.99,80.74,26.86,15.31,17.23,0.0,0.0,0.0,183.13
2007 - 47H1,2749.99,2279.27,98.45,67.67,949.46,297.31,414.65,140.82,102.64,334.99,61.07,22.31,19.69,1393.48
2007 - 47H2,1586.47,1207.62,38.63,21.55,116.87,357.0,347.73,82.7,47.29,192.72,30.74,8.12,5.78,1072.08
2007 - 47H3,991.55,756.52,18.55,9.83,108.18,267.53,346.73,50.61,64.45,495.9,15.38,10.5,8.67,1259.77
2007 - 48G9,0.0,0.0,0.0,0.0,1290.11,385.74,269.44,88.2,130.52,257.12,66.49,14.84,29.97,1242.32
2007 - 48H0,24.41,0.0,0.11,0.0,1844.41,207.28,282.64,100.11,72.82,242.74,44.93,21.44,17.02,988.98
2007 - 48H1,139.63,27.93,2.0,0.06,1391.64,900.6,1150.85,375.89,261.55,887.77,161.84,66.25,54.41,3859.16
2007 - 48H2,122.19,73.31,0.69,0.53,416.0,204.89,154.25,31.11,14.53,68.38,9.91,2.47,1.5,487.04
2007 - 48H3,495.15,491.67,3.03,2.83,419.02,509.82,452.74,44.16,60.95,600.49,11.04,7.33,8.02,1694.55
2007 - 48H4,1230.48,521.84,18.27,4.66,31.05,217.97,235.22,23.0,35.15,329.49,6.05,3.63,1.72,852.23
2007 - 48H5,1926.39,1050.57,37.62,10.61,27.25,45.97,53.29,5.08,7.92,76.66,1.23,0.81,0.85,191.81
2007 - 48H6,1614.38,252.68,26.89,1.3,175.3,58.13,56.01,2.45,6.47,77.89,0.4,0.31,0.21,201.87
2007 - 49G9,0.0,0.0,0.0,0.0,851.59,243.44,29.24,27.52,17.2,26.65,0.0,0.0,4.29,348.34
2007 - 49H6,419.38,0.0,4.0,0.0,0.18,57.42,56.23,2.51,6.84,77.54,0.45,0.25,0.0,201.24
2007 - 50G7,0.0,0.0,0.0,0.0,158.65,289.24,73.16,65.98,24.27,94.36,19.15,2.05,75.67,643.88
2007 - 50G8,0.0,0.0,0.0,0.0,1.15,673.6,471.56,69.11,48.64,120.48,23.28,3.12,79.08,1488.87
2007 - 50G9,0.0,0.0,0.0,0.0,33.69,123.64,211.64,113.78,115.41,222.39,48.08,94.85,81.72,1011.51
2007 - 50H0,0.0,0.0,0.0,0.0,0.0,924.31,591.11,69.08,44.02,114.4,29.82,14.4,3.29,1790.43
2007 - 51G7,0.0,0.0,0.0,0.0,0.0,438.35,496.72,128.09,226.29,834.0,7.11,48.38,83.97,2262.91
2007 - 51G8,0.0,0.0,0.0,0.0,0.0,639.18,471.31,55.71,21.12,61.09,18.98,2.0,4.01,1273.4
2007 - 51G9,0.0,0.0,0.0,0.0,0.0,47.71,165.28,47.35,59.33,232.29,54.68,11.43,85.94,704.01
2007 - 51H0,0.0,0.0,0.0,0.0,2.3,40.92,225.36,54.21,58.14,248.54,71.23,29.56,54.87,782.83
2007 - 52G7,0.0,0.0,0.0,0.0,0.0,32.05,47.56,69.8,55.31,370.19,153.05,34.64,204.22,966.82
2007 - 52G8,0.0,0.0,0.0,0.0,52.04,29.38,67.09,250.58,104.67,616.94,196.68,102.09,243.71,1611.14
2007 - 52G9,0.0,0.0,0.0,0.0,0.0,171.14,156.47,47.04,88.48,313.46,82.57,58.34,160.14,1077.64
2007 - 52H0,0.0,0.0,0.0,0.0,30.99,315.36,281.63,3.6,35.11,47.38,7.43,6.61,8.85,705.97
2007 - 53G7,0.0,0.0,0.0,0.0,2.39,296.32,121.59,20.1,4.78,7.18,2.39,0.0,0.0,452.36
2007 - 53G8,0.0,0.0,0.0,0.0,0.0,143.14,99.0,161.61,171.1,288.2,172.81,80.36,260.65,1376.87
2007 - 53G9,0.0,0.0,0.0,0.0,4.39,191.61,93.87,59.71,24.56,222.83,86.39,86.87,399.14,1164.98
2007 - 53H0,0.0,0.0,0.0,0.0,4.5,42.03,64.47,58.4,46.37,114.0,79.11,15.46,104.89,524.73
2007 - 54G8,0.0,0.0,0.0,0.0,87.47,83.4,184.21,77.51,73.86,375.79,105.5,33.64,114.51,1048.42
2007 - 54G9,0.0,0.0,0.0,0.0,0.0,28.83,159.03,82.91,88.23,294.98,68.03,106.17,140.77,968.95
2007 - 54H0,0.0,0.0,0.0,0.0,0.0,126.35,274.89,215.3,60.95,293.53,105.43,40.5,96.04,1212.99
2007 - 55G9,0.0,0.0,0.0,0.0,4.12,407.02,268.76,73.08,61.52,52.84,26.83,7.01,13.2,910.26
2007 - 55H0,0.0,0.0,0.0,0.0,37.3,325.55,129.97,24.56,15.23,50.05,5.9,4.66,8.38,564.3
2008 - 37G0,0.0,0.0,0.0,0.0,5.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008 - 37G1,0.0,0.0,0.0,0.0,323.02,21.44,0.38,0.29,0.29,0.0,0.0,0.0,0.0,22.4
2008 - 37G2,0.0,0.0,0.0,0.0,343.66,8.2,2.68,1.64,0.41,0.66,0.08,0.36,0.0,14.03
2008 - 37G3,0.0,0.0,0.0,0.0,8.61,1.4,1.13,1.77,2.06,1.75,0.84,0.31,0.13,9.39
2008 - 37G4,0.0,0.0,0.0,0.0,34.91,24.77,24.78,28.53,23.58,24.07,13.83,6.01,2.6,148.17
2008 - 37G5,172.06,0.0,0.95,0.0,26.07,87.32,57.39,52.76,12.45,43.44,106.77,30.41,14.92,405.46
2008 - 37G8,0.0,0.0,0.0,0.0,23.74,8.81,20.5,16.32,3.54,17.77,21.31,7.02,5.05,100.32
2008 - 37G9,0.0,0.0,0.0,0.0,20.15,22.43,53.18,41.44,7.98,44.35,52.88,17.29,9.23,248.78
2008 - 38G0,138.36,3.95,0.75,0.0,90.46,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2008 - 38G1,7.9,0.0,0.03,0.0,111.74,1.71,0.04,0.0,0.0,0.0,0.0,0.0,0.0,1.75
2008 - 38G2,0.0,0.0,0.0,0.0,288.19,20.93,6.13,3.19,0.37,1.97,0.96,0.57,0.02,34.14
2008 - 38G3,59.29,0.0,0.06,0.0,87.26,14.64,9.06,12.22,9.18,8.76,5.92,1.9,0.99,62.67
2008 - 38G4,7.9,0.0,0.01,0.0,66.2,83.44,85.54,94.89,73.83,78.1,46.13,20.44,8.86,491.23
2008 - 38G5,2076.86,1276.08,26.44,9.69,22.91,98.07,121.13,101.85,20.16,78.44,126.75,43.62,18.81,608.83
2008 - 38G6,257.5,63.25,2.59,0.38,61.82,33.38,21.49,39.99,19.52,48.02,64.85,23.16,11.8,262.21
2008 - 38G7,0.0,0.0,0.0,0.0,6.5,14.22,4.25,22.59,11.5,24.64,20.25,5.58,4.51,107.54
2008 - 38G8,237.91,23.82,1.58,0.11,312.4,37.1,67.39,69.48,30.34,87.06,89.65,35.3,69.6,485.92
2008 - 38G9,950.86,641.16,26.41,13.08,32.15,10.24,16.1,12.91,13.99,15.62,15.3,4.66,8.13,96.95
2008 - 39F9,251.55,3.9,0.96,0.01,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008 - 39G0,360.8,0.0,1.82,0.0,1.01,0.06,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.34
2008 - 39G1,310.2,0.0,1.32,0.0,10.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008 - 39G2,86.53,0.0,0.15,0.0,,,,,,,,,,
2008 - 39G3,1222.23,0.0,6.49,0.0,77.07,35.21,19.66,11.08,6.09,8.69,7.17,3.27,0.89,92.06
2008 - 39G4,622.87,289.18,5.31,0.81,,,,,,,,,,
2008 - 39G5,2867.01,2773.16,85.27,42.0,7.88,14.95,33.13,41.21,16.59,51.94,14.37,3.22,0.94,176.35
2008 - 39G6,2232.03,1309.85,39.69,13.5,100.13,52.14,33.53,63.82,31.51,77.16,102.96,36.97,18.86,416.95
2008 - 39G7,1315.94,192.17,10.91,0.4,7.72,68.02,75.98,142.25,80.78,185.97,147.61,38.06,32.59,771.26
2008 - 39G8,1800.9,789.99,18.3,7.43,6.02,7.86,11.78,23.43,9.13,31.01,28.34,10.27,18.73,140.55
2008 - 39G9,2710.14,2415.95,63.98,32.46,13.09,62.08,90.86,112.61,88.64,162.19,112.91,37.0,60.52,726.81
2008 - 39H0,0.0,0.0,0.0,0.0,16.93,2.68,1.22,0.75,0.98,0.9,0.36,0.18,0.6,7.67
2008 - 40F9,209.94,3.9,0.47,0.02,1.0,0.13,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.14
2008 - 40G0,764.05,0.0,3.69,0.0,10.73,1.39,0.09,0.02,0.02,0.0,0.0,0.0,0.0,1.52
2008 - 40G1,65.56,0.0,0.09,0.0,2.61,0.34,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.36
2008 - 40G2,115.88,0.0,0.49,0.0,39.06,41.46,17.65,25.49,16.45,17.47,7.65,0.48,3.01,129.66
2008 - 40G4,955.69,147.96,10.2,0.45,19.14,12.87,14.99,10.42,6.91,5.94,1.76,1.13,0.0,54.02
2008 - 40G5,2220.63,766.84,38.06,5.53,52.9,32.65,48.57,27.6,3.36,27.58,10.11,1.79,0.0,151.66
2008 - 40G6,870.97,692.36,13.73,4.07,58.7,59.15,101.61,81.58,55.72,9.94,36.61,1.8,2.31,348.72
2008 - 40G7,93.45,0.0,0.2,0.0,7.31,35.13,33.95,22.24,15.31,18.3,13.84,1.26,1.46,141.49
2008 - 40G8,3057.98,2585.22,93.07,48.4,1.16,20.55,17.74,22.57,20.47,58.2,44.93,14.1,8.61,207.17
2008 - 40G9,2861.82,1482.82,48.16,14.34,0.0,94.53,136.4,114.08,115.34,90.19,62.21,22.71,22.84,658.3
2008 - 40H0,7.77,0.0,0.0,0.0,101.68,44.11,20.76,35.02,17.11,33.96,46.41,19.48,45.68,262.53
2008 - 41G0,287.1,0.0,2.48,0.0,,,,,,,,,,
2008 - 41G1,2843.68,0.0,16.23,0.0,2.36,55.44,5.16,0.48,0.0,0.0,0.0,0.0,0.0,61.08
2008 - 41G2,1225.18,0.0,7.39,0.0,,,,,,,,,,
2008 - 41G6,3.8,0.0,0.0,0.0,10.11,72.51,87.71,137.79,14.02,298.77,198.31,45.43,35.19,889.73
2008 - 41G7,358.39,0.0,2.7,0.0,1.98,7.65,9.01,53.37,23.89,64.74,52.55,15.7,8.78,235.69
2008 - 41G8,2029.13,1695.93,79.93,40.88,2.82,0.0,0.0,23.28,44.01,91.27,198.85,61.66,70.93,490.0
2008 - 41G9,2766.66,2200.29,133.95,81.32,2.84,30.55,81.57,110.08,59.97,102.25,90.99,36.91,16.87,529.19
2008 - 41H0,285.61,102.68,3.91,0.48,0.0,13.22,45.35,75.48,112.41,125.48,220.35,48.04,77.63,717.96
2008 - 42G1,0.0,0.0,0.0,0.0,66.94,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51
2008 - 42G2,11.4,0.0,0.02,0.0,36.17,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9
2008 - 42G6,200.64,37.85,3.89,0.4,4.78,36.37,21.49,8.08,1.01,6.25,1.47,0.0,0.0,74.67
2008 - 42G7,2678.42,1952.11,80.39,36.49,14.02,91.44,93.45,98.42,23.15,144.08,26.92,2.25,6.73,486.44
2008 - 42G8,811.4,630.32,33.97,20.7,0.62,7.82,38.0,76.45,30.67,56.1,40.97,6.92,5.61,262.54
2008 - 42G9,3397.22,3397.22,279.07,213.98,0.0,38.46,180.17,184.37,110.1,246.81,90.98,19.15,1.28,871.32
2008 - 42H0,1408.13,1223.47,73.08,55.58,0.0,62.93,41.19,97.32,69.02,63.68,86.64,28.4,37.56,486.74
2008 - 43G1,0.0,0.0,0.0,0.0,510.9,3.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.88
2008 - 43G2,0.0,0.0,0.0,0.0,51.55,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39
2008 - 43G6,0.0,0.0,0.0,0.0,137.49,121.6,82.09,100.19,75.13,168.03,60.57,9.35,9.21,626.17
2008 - 43G7,2485.25,1941.48,78.07,43.82,66.58,529.2,211.29,191.96,54.7,145.82,100.12,2.22,10.31,1245.62
2008 - 43G8,164.56,119.71,4.14,2.25,2.17,3.15,24.46,33.52,29.57,14.46,19.9,1.36,2.96,129.38
2008 - 43G9,3066.38,2888.21,252.63,194.49,1.37,7.28,13.05,37.74,17.81,18.63,19.92,2.13,1.74,118.3
2008 - 43H0,1868.73,1443.78,181.26,129.33,0.0,182.5,238.77,310.55,252.39,137.86,197.6,89.45,35.05,1444.17
2008 - 43H1,0.0,0.0,0.0,0.0,0.0,41.23,44.77,44.63,18.49,11.77,7.74,10.94,8.38,187.95
2008 - 44G0,0.0,0.0,0.0,0.0,24.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008 - 44G1,0.0,0.0,0.0,0.0,285.83,49.23,7.63,1.46,0.0,0.0,0.0,0.0,0.0,58.32
2008 - 44G7,3178.02,2902.13,159.41,117.05,287.02,300.59,234.13,327.29,91.04,58.36,38.12,0.0,3.51,1053.04
2008 - 44G8,1403.73,1322.89,57.06,36.58,31.16,144.65,74.95,2.75,0.0,4.44,8.1,0.77,0.0,235.66
2008 - 44G9,1977.64,1727.6,91.2,66.17,13.37,48.67,109.72,143.81,55.9,98.32,33.33,0.0,1.84,491.59
2008 - 44H0,2834.8,2432.16,145.45,108.63,0.0,9.43,32.67,47.51,22.86,45.38,37.59,5.46,2.92,203.82
2008 - 44H1,36.54,0.0,0.17,0.0,4.01,127.8,178.31,193.51,159.69,124.89,117.74,47.73,4.56,954.23
2008 - 45G7,1852.72,1310.33,80.45,55.92,56.81,587.69,385.67,271.13,104.99,254.36,75.06,0.0,0.0,1678.9
2008 - 45G8,3206.0,3093.53,191.44,140.73,52.86,219.61,210.27,82.58,81.47,58.73,20.87,3.44,0.0,676.97
2008 - 45G9,2369.53,2163.0,129.76,104.08,241.2,21.01,60.53,52.31,41.0,6.23,24.38,2.6,0.0,208.06
2008 - 45H0,2657.92,1901.57,94.68,63.37,82.15,7.48,16.37,45.68,36.67,18.88,43.49,7.07,3.85,179.49
