,A43ml,A1ml,V43ml,V1ml,Depth,Fishno,Lengthclass,Age,Weight,Maturity,Otolithno,Gutted weight (g),Mesh size : 16.0,Mesh size : 20.0,Mesh size : 90.0,Subdiv : 24,Subdiv : 25,Subdiv : 26,Subdiv : 27,Subdiv : 28,Sex : F,Sex : M,Decease : 0.0,Decease : 1.0,Decease : 2.0,Decease : 5.0,Aging method : 2.0
2014 - 40G5,1946.43,1314.72,35.4,8.23,54.18967971530249,33.355871886120994,256.47686832740214,4.093189964157706,253.5017793594306,3.8398576512455516,380.2241992882562,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6441281138790036,0.35587188612099646,0.0,0.0,0.0035587188612099642,0.021352313167259787,0.0
2014 - 40G6,1156.64,575.69,20.5,2.12,57.5,23.5,250.65217391304347,3.5681818181818183,207.3913043478261,3.891304347826087,23.5,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3695652173913043,0.6304347826086957,0.0,0.021739130434782608,0.0,0.06521739130434782,0.0
2014 - 40G7,0.0,0.0,0.0,0.0,58.433333333333316,8.033333333333333,248.66666666666666,5.333333333333333,200.86666666666667,5.3,188.5,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.36666666666666664,0.6333333333333333,0.0,0.0,0.0,0.0,0.0
2014 - 41G7,0.0,0.0,0.0,0.0,58.38461538461539,8.717948717948717,234.35897435897436,5.435897435897436,178.15384615384616,5.0256410256410255,277.87179487179486,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.38461538461538464,0.6153846153846154,0.0,0.0,0.0,0.0,0.0
2014 - 41G8,1864.18,805.17,70.24,10.15,60.354166666666664,7.541666666666667,240.0,6.583333333333333,175.0,4.0,761.5,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.2916666666666667,0.7083333333333334,0.0,0.0,0.0,0.041666666666666664,0.0
2014 - 42G6,159.23,53.07,1.63,0.27,65.76010101010101,39.05050505050505,251.16161616161617,6.355329949238579,209.43434343434345,4.388888888888889,668.5,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4898989898989899,0.51010101010101,0.0,0.0,0.0,0.010101010101010102,0.0
2014 - 42G7,2409.62,1389.98,49.53,20.43,67.92580645161291,19.629032258064516,244.67741935483872,6.919354838709677,187.48387096774192,4.741935483870968,718.241935483871,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.45161290322580644,0.5483870967741935,0.0,0.0,0.0,0.0,0.0
2014 - 43G7,2123.48,1788.1,61.94,37.39,71.75058139534885,62.38953488372093,244.53488372093022,8.017857142857142,172.3139534883721,4.941860465116279,641.5174418604652,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.38953488372093026,0.6104651162790697,0.0,0.0,0.0,0.005813953488372093,0.0
2014 - 43G8,153.33,104.75,3.46,1.83,47.22240259740259,98.78896103896103,224.15584415584416,6.045454545454546,152.62987012987014,3.75,397.7435064935065,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.45454545454545453,0.5454545454545454,0.0,0.0,0.0,0.006493506493506494,0.0
2014 - 43G9,3007.02,2877.11,242.01,155.84,67.0,17.0,280.0,10.424242424242424,263.1515151515151,4.696969696969697,485.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6060606060606061,0.3939393939393939,0.0,0.0,0.0,0.0,0.0
2014 - 44G9,1929.46,1469.0,92.19,46.75,47.65144508670521,39.589595375722546,237.45664739884393,10.366279069767442,169.78034682080926,4.670520231213873,537.3757225433526,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.37572254335260113,0.6242774566473989,0.0,0.011560693641618497,0.0,0.005780346820809248,0.0
2014 - 45G9,2409.22,2213.66,131.53,103.64,74.60000000000002,64.0,233.22834645669292,7.125984251968504,147.08661417322836,5.456692913385827,302.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2677165354330709,0.7322834645669292,0.0,0.0,0.0,0.0,0.0
2015 - 39G4,1427.76,191.41,15.26,0.88,60.300000000000026,23.5,281.7391304347826,5.022222222222222,286.6521739130435,4.782608695652174,23.5,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6956521739130435,0.30434782608695654,0.0,0.0,0.0,0.0,1.0
2015 - 40G4,723.16,229.65,10.17,1.42,49.98623481781375,20.963562753036438,277.9757085020243,5.142276422764228,286.0931174089069,4.319838056680162,111.17408906882591,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6356275303643725,0.3643724696356275,0.0,0.0,0.0,0.024291497975708502,1.0
2015 - 40G5,2023.69,1093.18,35.19,6.85,56.67760416666667,18.296875,247.34375,4.8,219.61979166666666,4.260416666666667,303.234375,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.59375,0.40625,0.0,0.0,0.0,0.020833333333333332,1.0
2015 - 40G6,1442.96,815.54,16.87,4.1,54.4,35.0,233.47826086956522,3.4927536231884058,173.768115942029,4.0,822.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.391304347826087,0.6086956521739131,0.0,0.0,0.0,0.0,1.0
2015 - 41G6,228.48,38.02,1.48,0.12,61.200000000000024,8.0,187.33333333333334,3.3333333333333335,83.4,3.8666666666666667,1095.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,1.0
2015 - 41G7,271.02,11.4,1.3,0.02,41.6,41.0,257.1604938271605,8.525,223.82716049382717,4.148148148148148,171.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4444444444444444,0.5555555555555556,0.0,0.0,0.0,0.0,1.0
2015 - 41G8,1971.85,1193.7,71.24,11.36,44.856617647058826,45.10539215686274,252.2058823529412,10.84029484029484,193.3186274509804,4.840686274509804,406.0637254901961,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.31862745098039214,0.6813725490196079,0.0,0.004901960784313725,0.0,0.0,1.0
2015 - 42G6,197.12,125.15,2.39,0.85,63.1409090909091,32.72727272727273,243.97727272727272,7.6022727272727275,171.6590909090909,5.454545454545454,1043.5,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.23863636363636365,0.7613636363636364,0.0,0.0,0.0,0.011363636363636364,1.0
2015 - 43G6,0.0,0.0,0.0,0.0,44.0,92.5,235.54347826086956,8.280219780219781,165.52173913043478,4.065217391304348,695.5,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.45108695652173914,0.5489130434782609,0.0,0.0,0.0,0.0,1.0
