,A43ml,A1ml,V43ml,V1ml
1979 - 42H9,0.0,0.0,0.0,0.0
1979 - 42I0,0.0,0.0,0.0,0.0
1979 - 43F9,0.0,0.0,0.0,0.0
1979 - 43G0,0.0,0.0,0.0,0.0
1979 - 43G1,0.0,0.0,0.0,0.0
1979 - 43G2,0.0,0.0,0.0,0.0
1979 - 43G3,0.0,0.0,0.0,0.0
1979 - 43G4,0.0,0.0,0.0,0.0
1979 - 43G5,0.0,0.0,0.0,0.0
1979 - 43G6,0.0,0.0,0.0,0.0
1979 - 43G7,2030.54,1482.58,58.45,28.74
1979 - 43G8,134.64,59.88,2.76,0.71
1979 - 43G9,2954.96,2709.85,226.27,165.07
1979 - 43H0,2170.87,1857.64,197.0,157.84
1979 - 43H1,0.0,0.0,0.0,0.0
1979 - 43H2,0.0,0.0,0.0,0.0
1979 - 43H3,0.0,0.0,0.0,0.0
1979 - 43H4,0.0,0.0,0.0,0.0
1979 - 43H5,0.0,0.0,0.0,0.0
1979 - 43H6,0.0,0.0,0.0,0.0
1979 - 43H7,0.0,0.0,0.0,0.0
1979 - 43H8,0.0,0.0,0.0,0.0
1979 - 43H9,0.0,0.0,0.0,0.0
1979 - 43I0,0.0,0.0,0.0,0.0
1979 - 44F9,0.0,0.0,0.0,0.0
1979 - 44G0,0.0,0.0,0.0,0.0
1979 - 44G1,0.0,0.0,0.0,0.0
1979 - 44G2,0.0,0.0,0.0,0.0
1979 - 44G3,0.0,0.0,0.0,0.0
1979 - 44G4,0.0,0.0,0.0,0.0
1979 - 44G5,0.0,0.0,0.0,0.0
1979 - 44G6,0.0,0.0,0.0,0.0
1979 - 44G7,3005.16,2615.25,135.16,91.22
1979 - 44G8,1326.52,1223.84,37.92,19.4
1979 - 44G9,1834.04,1433.09,78.09,50.1
1979 - 44H0,2864.03,2493.86,139.18,86.88
1979 - 44H1,105.97,7.31,1.3,0.01
1979 - 44H2,0.0,0.0,0.0,0.0
1979 - 44H3,0.0,0.0,0.0,0.0
1979 - 44H4,0.0,0.0,0.0,0.0
1979 - 44H5,0.0,0.0,0.0,0.0
1979 - 44H6,0.0,0.0,0.0,0.0
1979 - 44H7,0.0,0.0,0.0,0.0
1979 - 44H8,0.0,0.0,0.0,0.0
1979 - 44H9,0.0,0.0,0.0,0.0
1979 - 44I0,0.0,0.0,0.0,0.0
1979 - 45F9,0.0,0.0,0.0,0.0
1979 - 45G0,0.0,0.0,0.0,0.0
1979 - 45G1,0.0,0.0,0.0,0.0
1979 - 45G2,0.0,0.0,0.0,0.0
1979 - 45G3,0.0,0.0,0.0,0.0
1979 - 45G4,0.0,0.0,0.0,0.0
1979 - 45G5,0.0,0.0,0.0,0.0
1979 - 45G6,0.0,0.0,0.0,0.0
1979 - 45G7,2131.76,1762.18,91.44,58.6
1979 - 45G8,3122.57,2647.49,152.59,73.22
1979 - 45G9,2221.04,1786.89,111.56,72.74
1979 - 45H0,2908.58,2052.17,91.25,42.53
1979 - 45H1,346.56,61.24,4.17,0.1
1979 - 45H2,0.0,0.0,0.0,0.0
1979 - 45H3,0.0,0.0,0.0,0.0
1979 - 45H4,0.0,0.0,0.0,0.0
1979 - 45H5,0.0,0.0,0.0,0.0
1979 - 45H6,0.0,0.0,0.0,0.0
1979 - 45H7,0.0,0.0,0.0,0.0
1979 - 45H8,0.0,0.0,0.0,0.0
1979 - 45H9,0.0,0.0,0.0,0.0
1979 - 45I0,0.0,0.0,0.0,0.0
1979 - 46F9,0.0,0.0,0.0,0.0
1979 - 46G0,0.0,0.0,0.0,0.0
1979 - 46G1,0.0,0.0,0.0,0.0
1979 - 46G2,0.0,0.0,0.0,0.0
1979 - 46G3,0.0,0.0,0.0,0.0
1979 - 46G4,0.0,0.0,0.0,0.0
1979 - 46G5,0.0,0.0,0.0,0.0
1979 - 46G6,0.0,0.0,0.0,0.0
1979 - 46G7,118.62,28.76,1.41,0.11
1979 - 46G8,1915.12,1679.55,184.43,135.38
1979 - 46G9,2970.22,2776.56,154.2,94.77
1979 - 46H0,3174.84,2619.47,164.34,111.33
1979 - 46H1,1088.88,394.79,18.31,6.7
1979 - 46H2,0.0,0.0,0.0,0.0
1979 - 46H3,0.0,0.0,0.0,0.0
1979 - 46H4,0.0,0.0,0.0,0.0
1979 - 46H5,0.0,0.0,0.0,0.0
1979 - 46H6,0.0,0.0,0.0,0.0
1979 - 46H7,0.0,0.0,0.0,0.0
1979 - 46H8,0.0,0.0,0.0,0.0
1979 - 46H9,0.0,0.0,0.0,0.0
1979 - 46I0,0.0,0.0,0.0,0.0
1979 - 47F9,0.0,0.0,0.0,0.0
1979 - 47G0,0.0,0.0,0.0,0.0
1979 - 47G1,0.0,0.0,0.0,0.0
1979 - 47G2,0.0,0.0,0.0,0.0
1979 - 47G3,0.0,0.0,0.0,0.0
1979 - 47G4,0.0,0.0,0.0,0.0
1979 - 47G5,0.0,0.0,0.0,0.0
1979 - 47G6,0.0,0.0,0.0,0.0
1979 - 47G7,0.0,0.0,0.0,0.0
1979 - 47G8,0.0,0.0,0.0,0.0
1979 - 47G9,1064.18,127.56,15.65,0.87
1979 - 47H0,1716.24,707.77,57.1,16.72
1979 - 47H1,1946.4,1401.34,67.32,36.07
1979 - 47H2,990.29,555.15,15.36,4.65
1979 - 47H3,742.49,112.09,9.12,0.34
1979 - 47H4,31.47,0.0,0.35,0.0
1979 - 47H5,0.0,0.0,0.0,0.0
1979 - 47H6,0.0,0.0,0.0,0.0
1979 - 47H7,0.0,0.0,0.0,0.0
1979 - 47H8,0.0,0.0,0.0,0.0
1979 - 47H9,0.0,0.0,0.0,0.0
1979 - 47I0,0.0,0.0,0.0,0.0
1979 - 48F9,0.0,0.0,0.0,0.0
1979 - 48G0,0.0,0.0,0.0,0.0
1979 - 48G1,0.0,0.0,0.0,0.0
1979 - 48G2,0.0,0.0,0.0,0.0
1979 - 48G3,0.0,0.0,0.0,0.0
1979 - 48G4,0.0,0.0,0.0,0.0
1979 - 48G5,0.0,0.0,0.0,0.0
1979 - 48G6,0.0,0.0,0.0,0.0
1979 - 48G7,0.0,0.0,0.0,0.0
1979 - 48G8,0.0,0.0,0.0,0.0
1979 - 48G9,0.0,0.0,0.0,0.0
1979 - 48H0,0.0,0.0,0.0,0.0
1979 - 48H1,0.0,0.0,0.0,0.0
